date,prix100,prix10,prix1
2022-02-01-20:02:46,2489,292,54
2022-02-01-20:04:53,2489,290,54
2022-02-01-20:35:33,1998,293,28
2022-02-02-20:07:17,8194,346,50
2022-02-02-20:11:59,8193,345,50
2022-02-02-20:26:56,8299,346,48
2022-02-06-14:50:42,2789,299,43
2022-02-06-15:03:05,2748,296,43
2022-02-06-15:22:39,2698,297,43
2022-02-06-22:28:47,8096,316,56
2022-02-07-20:10:27,8194,399,55
2022-02-07-20:22:47,8299,396,54
2022-02-07-20:35:02,8296,319,52
2022-02-07-20:47:21,8244,319,51
2022-02-07-20:59:41,8224,396,53
2022-02-07-21:12:01,8219,396,53
2022-02-10-00:04:26,8118,310,46
2022-02-10-08:41:49,2425,315,25
2022-02-10-08:44:39,2423,300,25
2022-02-10-09:08:30,2415,300,25
2022-02-10-20:11:44,8186,499,100
2022-02-10-20:25:19,8186,490,200
2022-02-10-20:38:45,8100,465,199
2022-02-11-20:30:07,1996,269,30
2022-02-12-12:31:09,2500,199,20
2022-09-06-01:07:34,1189,350,10
2022-09-06-01:10:00,1189,350,10
2022-09-06-01:13:29,1189,350,10
2022-09-06-01:14:49,1189,350,10
2022-09-06-01:15:19,1189,350,10
2022-09-06-01:15:53,1189,350,10
2022-09-06-01:18:07,1189,350,10
2022-09-06-01:19:38,1189,350,10
2022-09-06-01:20:48,1189,350,10
2022-09-06-01:23:11,1099,350,10
2022-09-06-01:24:19,1099,350,10
2022-09-06-01:25:02,1099,350,10
2022-09-06-01:31:40,1096,350,10
2022-09-06-01:34:42,1096,350,10
2022-09-06-01:35:54,1096,350,10
2022-09-11-16:29:33,1984,424,55
2022-09-11-16:32:47,1990,424,55
2022-09-11-16:33:04,1990,424,55
2022-09-11-16:33:56,1990,424,55
2022-09-11-17:22:43,1899,424,55
2022-09-11-22:14:53,272116,2116,150
2022-09-11-23:11:19,1767,160,35
2022-09-11-23:26:17,1760,160,18
2022-09-12-20:47:48,2543,250,38
